Math,Biology,Physics,Chemistry,English,Digital_Technology,Critical_Thinking,Linguistic_Competencies,Holy_Quran,Ecology,Vocational_Education,Social_Studies,Hadith,Physical_Health,Financial_Literacy,Statistics,GPA,Grade_Level,Attendance_Behavior,Interest,Suggested_Major
64,90,64,69,93,80,92,70,80,61,81,60,58,58,73,81,72.37,1,Good,Healthcare,التمريض
92,82,92,57,83,89,86,50,50,54,73,67,54,53,66,62,69.56,2,Average,AI,علوم الحاسب
81,40,51,84,87,55,79,76,70,64,73,92,89,54,92,86,70.78,3,Weak,Healthcare,التسويق
95,57,78,58,86,87,97,88,73,77,89,68,67,76,54,61,74.06,3,Weak,Cybersecurity,الأمن السيبراني
91,90,99,54,76,86,93,59,82,65,79,50,42,79,87,64,75.0,3,Average,Robotics,هندسة الحاسب
70,46,64,87,84,91,90,60,62,83,52,50,57,85,94,63,74.8,3,Average,Business,نظم المعلومات الإدارية
93,50,79,91,75,90,83,75,72,70,83,64,83,81,59,60,77.56,1,Good,Robotics,الهندسة الميكانيكية
97,86,85,81,85,94,79,59,62,90,64,65,74,90,51,85,75.02,3,Good,Robotics,الهندسة الكهربائية
90,100,67,86,84,83,68,86,86,83,85,85,79,80,85,73,84.22,2,Average,Scientific Research,الصيدلة
99,70,97,55,56,95,90,67,51,80,81,89,72,80,66,74,78.67,2,Good,Engineering,الهندسة الكهربائية
89,87,85,82,69,88,87,87,65,79,90,81,81,51,82,66,83.38,1,Average,Scientific Research,الرياضيات
83,88,71,91,95,84,55,69,57,76,53,85,86,61,89,83,73.37,2,Weak,Healthcare,الأحياء
86,67,53,51,82,53,78,78,67,89,66,57,89,77,91,60,69.36,3,Average,Accounting,المحاسبة
99,50,87,52,85,87,90,51,78,78,67,72,71,58,85,89,71.02,2,Good,Engineering,الهندسة الكهربائية
87,90,84,53,87,55,85,87,78,62,77,77,63,63,70,67,77.31,3,Good,Scientific Research,الرياضيات
64,66,54,86,80,58,87,94,50,80,66,87,70,79,86,65,70.79,3,Good,Marketing,القانون
85,59,92,75,79,89,86,63,59,55,76,59,62,52,88,59,74.62,2,Weak,Business,الفيزياء
69,92,84,83,67,64,83,60,63,80,83,67,89,53,71,85,75.37,3,Average,Scientific Research,الأحياء
93,52,89,51,90,96,84,44,58,88,50,67,60,58,59,78,66.76,3,Good,Robotics,هندسة الحاسب
98,90,80,59,87,86,90,86,74,61,85,83,70,88,80,77,81.75,3,Good,Data Analysis,علوم الحاسب
87,64,87,55,87,96,88,59,68,83,62,65,56,58,65,76,74.37,3,Average,Data Analysis,الذكاء الاصطناعي
91,63,89,89,79,95,90,69,68,52,55,73,76,68,72,84,77.76,1,Good,Programming,هندسة الحاسب
96,67,79,79,69,96,96,80,85,57,74,69,89,79,52,62,73.85,3,Average,Data Analysis,علوم الحاسب
91,63,93,85,98,77,100,86,49,57,61,83,86,60,85,85,77.3,3,Excellent,AI,هندسة البرمجيات
91,76,61,87,63,57,60,72,75,72,54,90,65,71,90,81,68.12,3,Average,Scientific Research,الكيمياء
52,82,83,65,89,66,84,86,73,58,62,85,78,90,74,79,75.26,3,Excellent,Law,القانون
90,51,95,89,46,67,86,51,62,78,68,71,84,69,87,54,72.86,2,Average,Engineering,الهندسة الميكانيكية
51,89,55,75,98,75,84,61,65,54,50,84,85,63,58,71,74.91,2,Average,Healthcare,التمريض
77,97,86,84,85,65,69,89,63,60,50,97,54,89,80,66,75.74,2,Good,Healthcare,الصحة العامة
82,90,75,99,64,59,63,59,72,82,63,63,72,55,60,76,72.0,3,Excellent,Scientific Research,الكيمياء
98,80,82,52,75,62,81,82,72,57,59,61,59,73,76,61,65.97,3,Average,Scientific Research,الرياضيات
94,99,62,98,93,67,57,73,82,76,77,71,55,72,85,54,80.89,2,Average,Healthcare,الصيدلة
99,71,75,50,77,85,98,62,63,80,65,78,56,63,52,74,71.58,3,Weak,Data Analysis,الذكاء الاصطناعي
69,73,81,72,85,87,82,58,57,79,89,87,68,77,85,62,80.48,3,Excellent,Marketing,التسويق
99,64,88,72,97,85,87,54,71,69,56,60,89,66,86,88,74.38,1,Weak,Engineering,هندسة البرمجيات
93,63,77,58,75,92,93,56,83,81,80,52,56,76,54,64,73.79,2,Average,Programming,الأمن السيبراني
89,90,55,65,75,87,85,83,50,55,73,86,72,82,61,86,74.92,1,Good,AI,علم البيانات
94,96,54,85,89,77,50,83,83,65,67,86,85,86,84,78,77.33,3,Good,Healthcare,الطب والجراحة
73,93,67,84,92,69,81,60,69,57,60,67,82,52,88,50,72.56,1,Average,Healthcare,التمريض
100,55,50,53,81,79,81,85,80,50,55,86,72,89,95,62,75.36,2,Good,Accounting,المحاسبة
90,63,93,83,87,87,80,78,85,82,82,64,61,64,87,62,81.48,1,Good,Scientific Research,الفيزياء
78,87,69,89,84,71,57,44,73,76,55,52,59,66,89,86,69.64,1,Average,Scientific Research,الكيمياء
77,75,61,53,94,87,83,86,77,79,73,53,73,61,43,65,72.14,3,Good,Programming,تقنية المعلومات
86,83,67,51,88,63,81,88,81,55,79,94,84,85,85,78,74.31,1,Weak,Marketing,التسويق
92,65,51,86,87,74,90,60,80,43,87,83,69,72,98,68,80.24,3,Excellent,Accounting,المحاسبة
87,85,78,73,100,85,89,85,65,85,69,95,70,56,95,87,86.18,3,Excellent,Business,إدارة الأعمال
89,95,84,87,95,89,86,79,55,54,51,59,63,67,64,60,70.55,2,Average,Scientific Research,الصيدلة
89,56,91,84,86,90,86,52,58,61,80,72,53,89,80,90,78.45,3,Good,Programming,علوم الحاسب
89,85,80,64,85,54,80,72,61,78,75,86,77,51,55,74,78.06,2,Average,Healthcare,الصحة العامة
79,51,73,52,83,85,84,66,64,56,80,84,55,83,100,59,74.15,1,Excellent,Programming,نظم المعلومات الإدارية
98,67,68,59,85,93,97,58,74,79,81,53,79,56,57,85,73.47,3,Good,Data Analysis,علم البيانات
